ID,Title,Slug,Old URL,Status,Parent,Template,Words,Featured img,Modified,Suggested,Decision,New route,Priority,Notes
1349,Communications,communications,https://lasunison.co.uk/communications,publish,,default,84,,2023-03-07,Keep,,,,
1932,Communications Bulletins,bulletins-2,https://lasunison.co.uk/bulletins-2,publish,,default,4,,2022-12-28,Keep,,,,
5,Contact Us,contact-us,https://lasunison.co.uk/about-us/contact-us,publish,About Us,default,106,,2022-12-28,Keep,,,,
1199,Cookie Policy,cookie-policy,https://lasunison.co.uk/about-us/cookie-policy,publish,About Us,default,833,,2022-12-28,Keep,,,,
1924,Document Database,documents,https://lasunison.co.uk/documents,publish,,default,52,,2023-03-05,Keep,,,,
5945,Document Database - New,document-database-new,https://lasunison.co.uk/document-database-new,publish,,default,4,,2023-03-05,Keep,,,,
1129,Education,education,https://lasunison.co.uk/education,publish,,default,1313,,2025-02-16,Keep,,,,
1948,Education Bulletins,education-bulletins,https://lasunison.co.uk/education-bulletins,publish,,default,4,,2022-12-28,Keep,,,,
5547,Environment,environment,https://lasunison.co.uk/environment,publish,,default,861,,2023-04-25,Keep,,,,
1958,Equalities Bulletins,equalities-bulletins,https://lasunison.co.uk/equalities-bulletins,publish,,default,4,,2022-12-28,Keep,,,,
1787,Forms,forms,https://lasunison.co.uk/forms,publish,,default,252,,2022-12-28,Keep,,,,
1844,Free Software,free-software,https://lasunison.co.uk/stewards-zone/free-software,publish,Stewards Zone,default,382,,2022-12-28,Keep,,,,
1247,Frequently Asked Questions (FAQ's),questions,https://lasunison.co.uk/about-us/questions,publish,About Us,page-fullwidth.php,1,,2015-12-03,Keep,,,,
1954,General Bulletins,general-bulletins,https://lasunison.co.uk/general-bulletins,publish,,default,4,,2022-12-28,Keep,,,,
1315,Health & Safety,health-safety,https://lasunison.co.uk/health-safety,publish,,default,1546,,2020-06-10,Keep,,,,
1988,Health & Safety Bulletins,health-safety-bulletins,https://lasunison.co.uk/health-safety-bulletins,publish,,default,4,,2022-12-28,Keep,,,,
2622,Health & Safety Feedback Form,health-safety-feedback-form,https://lasunison.co.uk/health-safety-feedback-form,publish,,default,20,,2017-01-15,Keep,,,,
1734,Help with using this site,help-with-using-this-site,https://lasunison.co.uk/help-with-using-this-site,publish,,default,708,Y,2022-12-28,Keep,,,,
3297,High cost area supplements,high-cost-area-supplements,https://lasunison.co.uk/pay/high-cost-area-supplements,publish,Pay Rates,default,178,,2018-07-13,Keep,,,,
4359,Home,home,https://lasunison.co.uk/home,publish,,templates/template-home.php,0,,2017-11-13,Keep,,,,
6192,International,international,https://lasunison.co.uk/international,publish,,default,117,Y,2023-03-26,Keep,,,,
1359,LAS UNISON Branch Rules,las-unison-branch-rules,https://lasunison.co.uk/las-unison-branch-rules,publish,,default,2473,,2015-12-05,Keep,,,,
6243,LASUNISON.COM E-MAIL,lasunison-com-e-mail,https://lasunison.co.uk/lasunison-com-e-mail,publish,,default,103,,2022-05-17,Keep,,,,
3583,LASUNISON.NET,lasunison-net,https://lasunison.co.uk/lasunison-net,publish,,default,126,Y,2019-01-27,Keep,,,,
1332,Labour Link,labour-link,https://lasunison.co.uk/labour-link,publish,,default,425,,2022-03-08,Keep,,,,
1950,Labour Link Bulletins,labour-link-bulletins,https://lasunison.co.uk/labour-link-bulletins,publish,,default,4,,2022-12-28,Keep,,,,
1662,Legal Services,legal-services,https://lasunison.co.uk/legal-services,publish,,default,976,Y,2023-01-31,Keep,,,,
1469,Links Page,links-page,https://lasunison.co.uk/links-page,publish,,default,265,,2022-03-08,Keep,,,,
1645,Links Page,links-page-2,https://lasunison.co.uk/links-page-2,publish,,page-sidebarleft.php,1,,2016-05-23,Keep,,,,
1334,Membership / Join Us,membership,https://lasunison.co.uk/membership,publish,,default,1054,,2022-12-28,Keep,,,,
1944,Membership Bulletins,membership-bulletins,https://lasunison.co.uk/membership-bulletins,publish,,default,4,,2022-12-28,Keep,,,,
1705,NHS Pension Scheme,nhs-pension-scheme,https://lasunison.co.uk/nhs-pension-scheme,publish,,page-sidebarright.php,1156,,2016-05-25,Keep,,,,
5105,News,news,https://lasunison.co.uk/news,publish,,default,19,,2020-09-27,Keep,,,,
1962,Other Bulletins,other-bulletins,https://lasunison.co.uk/other-bulletins,publish,,page-sidebarright.php,2,,2016-06-12,Keep,,,,
1820,Pay Rates,pay,https://lasunison.co.uk/pay,publish,,default,334,,2022-12-28,Keep,,,,
3293,Pay Rates from 2018,pay-rates-from-2018,https://lasunison.co.uk/pay/pay-rates-from-2018,publish,Pay Rates,default,1700,,2018-07-13,Keep,,,,
1627,Posts,posts,https://lasunison.co.uk/posts,publish,,default,0,,2016-05-19,Keep,,,,
1202,Privacy Policy,privacy-policy,https://lasunison.co.uk/about-us/privacy-policy,publish,About Us,default,3662,Y,2022-12-28,Keep,,,,
1812,Private Ambulances,private-ambulances,https://lasunison.co.uk/private-ambulances,publish,,default,135,Y,2022-03-08,Keep,,,,
2930,Profile,profile,https://lasunison.co.uk/about-us/questions/profile,publish,Frequently Asked Questions (FAQ's),default,1,,2017-11-09,Keep,,,,
4797,Profile,profile,https://lasunison.co.uk/questions/profile,publish,Questions,default,1,,2020-04-08,Keep,,,,
3295,Provisions for unsocial hours payments for ambulance staff,provisions-for-unsocial-hours-payments-for-ambulance-staff,https://lasunison.co.uk/pay/provisions-for-unsocial-hours-payments-for-ambulance-staff,publish,Pay Rates,default,1470,,2018-07-13,Keep,,,,
4795,Questions,questions,https://lasunison.co.uk/questions,publish,,default,1,,2020-04-08,Keep,,,,
1339,Retired Members,retired-members,https://lasunison.co.uk/retired-members,publish,,default,270,,2025-04-21,Keep,,,,
1952,Retired Members Bulletins,retired-members-bulletins,https://lasunison.co.uk/retired-members-bulletins,publish,,default,4,,2022-12-28,Keep,,,,
1960,Sector Bulletins,sector-bulletins,https://lasunison.co.uk/sector-bulletins,publish,,default,4,,2022-12-28,Keep,,,,
1609,Stewards Directory,stewards-directory,https://lasunison.co.uk/stewards-directory,publish,,template-page-builder-no-sidebar.php,39,,2020-07-21,Keep,,,,
1447,Stewards Zone,stewards-zone,https://lasunison.co.uk/stewards-zone,publish,,default,377,,2025-07-15,Keep,,,,
2162,Stewards and H&S Rep Resources,stewards-hs-rep-resources,https://lasunison.co.uk/stewards-zone/stewards-hs-rep-resources,publish,Stewards Zone,default,37,,2022-12-28,Keep,,,,
1740,Subscription Rates,subscription-rates,https://lasunison.co.uk/subscription-rates,publish,,default,103,,2016-05-27,Keep,,,,
2932,Tags,tags,https://lasunison.co.uk/about-us/questions/tags,publish,Frequently Asked Questions (FAQ's),default,1,,2017-11-09,Keep,,,,
4799,Tags,tags,https://lasunison.co.uk/questions/tags,publish,Questions,default,1,,2020-04-08,Keep,,,,
1402,Update Your Details,update-your-details,https://lasunison.co.uk/update-your-details,publish,,default,152,,2022-08-02,Keep,,,,
1345,Welfare,welfare,https://lasunison.co.uk/welfare,publish,,default,400,,2020-03-25,Keep,,,,
1946,Welfare Bulletins,welfare-bulletins,https://lasunison.co.uk/welfare-bulletins,publish,,default,4,,2022-12-28,Keep,,,,
7571,Young Members,young-members,https://lasunison.co.uk/young-members,publish,,default,758,,2024-06-18,Keep,,,,
